Vendor,"GRAPHTEC Corporation"
Model,"GL220"
Version,"Ver1.10  "
Sampling interval,500ms
Total data points,9613      
Start time,2017-04-19,14:09:14
End time,2017-04-19,15:29:20
Trigger time,2017-04-19,14:09:14
AMP settings
CH,Signal name,Input,Range,Filter,Span
CH1," CH 1",TEMP,TC_J,10,+2000.0,-200.0,[degC]
CH2," CH 2",TEMP,TC_J,10,+2000.0,-200.0,[degC]
CH3," CH 3",TEMP,TC_J,10,+2000.0,-200.0,[degC]
CH4," CH 4",DC,50V,Off,+25.00,-25.00,[ V]
CH5," CH 5",DC,50V,Off,+25.00,-25.00,[ V]
CH6," CH 6",DC,50V,Off,+25.00,-25.00,[ V]
CH7," CH 7",DC,50V,Off,+25.00,-25.00,[ V]
CH8," CH 8",DC,50V,Off,+25.00,-25.00,[ V]
CH9," CH 9",DC,50V,Off,+25.00,-25.00,[ V]
CH10," CH10",DC,50V,Off,+25.00,-25.00,[ V]
Logic/Pulse,Off
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1  -10 ,Alarm Out
NO.,Time, ms,"degC","degC","degC","V","V","V","V","V","V","V","A12345678910","AO1234"
         1,2017/04/19 14:09:14,  0,+36.1,+36.0,+35.8,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.04,LLLLLLLLLL,LLLL
         2,2017/04/19 14:09:14,500,+36.1,+36.0,+35.8,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.04,LLLLLLLLLL,LLLL
         3,2017/04/19 14:09:15,  0,+36.1,+36.0,+35.8,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.04,LLLLLLLLLL,LLLL
         4,2017/04/19 14:09:15,500,+36.1,+36.0,+35.8,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.04,LLLLLLLLLL,LLLL
         5,2017/04/19 14:09:16,  0,+36.1,+36.0,+35.8,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.04,LLLLLLLLLL,LLLL
         6,2017/04/19 14:09:16,500,+36.1,+36.0,+35.8,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.03,LLLLLLLLLL,LLLL
         7,2017/04/19 14:09:17,  0,+36.1,+36.0,+35.8,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.02,LLLLLLLLLL,LLLL
         8,2017/04/19 14:09:17,500,+36.1,+36.0,+35.9,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.03,LLLLLLLLLL,LLLL
         9,2017/04/19 14:09:18,  0,+36.1,+36.0,+35.9,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.03,LLLLLLLLLL,LLLL
        10,2017/04/19 14:09:18,500,+36.1,+36.0,+35.9,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.05,LLLLLLLLLL,LLLL
        11,2017/04/19 14:09:19,  0,+36.1,+36.0,+35.9,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.05,LLLLLLLLLL,LLLL
        12,2017/04/19 14:09:19,500,+36.1,+36.0,+35.9,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.05,LLLLLLLLLL,LLLL
        13,2017/04/19 14:09:20,  0,+36.1,+36.0,+35.9,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.05,LLLLLLLLLL,LLLL
        14,2017/04/19 14:09:20,500,+36.1,+36.0,+35.9,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.05,LLLLLLLLLL,LLLL
        15,2017/04/19 14:09:21,  0,+36.1,+36.0,+35.9,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.05,LLLLLLLLLL,LLLL
        16,2017/04/19 14:09:21,500,+36.1,+36.0,+35.9,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.04,LLLLLLLLLL,LLLL
        17,2017/04/19 14:09:22,  0,+36.1,+36.0,+35.9,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.04,LLLLLLLLLL,LLLL
        18,2017/04/19 14:09:22,500,+36.1,+36.0,+35.9,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.04,LLLLLLLLLL,LLLL
